PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Benny Snell,RB,PIT,@NE,-110,49.00,5.50,21.75,3300,1.3,0.4,0.24
Alfred Morris,RB,DAL,NYG,-105,45.50,-7.50,26.50,3500,1.3,0.4,0.24
Devine Ozigbo,RB,JAX,KC,100,51.50,3.00,24.25,3000,1.2,0.4,0.24
Taiwan Jones,RB,HOU,@NO,-115,52.50,7.00,22.75,3000,0.8,0.3,0.23
Jakeem Grant,WR,MIA,BAL,-110,38.50,6.50,16.00,3000,6.7,2.2,0.22
Deonte Harris,WR,NO,HOU,-105,52.50,-7.00,29.75,3000,1.2,0.4,0.22
Deon Cain,WR,IND,@LAC,-110,44.50,6.50,19.00,3000,2.6,0.9,0.21
Justin Watson,WR,TB,SF,-110,51.00,-1.00,26.00,3200,2.2,0.7,0.21
Mack Hollins,WR,PHI,WAS,-110,45.00,-10.00,27.50,3000,1.5,0.5,0.21
Gus Edwards,RB,BAL,@MIA,-110,38.50,-6.50,22.50,3100,4.4,1.4,0.20
Foster Moreau,TE,OAK,DEN,-110,43.00,2.50,20.25,2600,1.7,0.6,0.20
Devin Smith,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,1.5,0.5,0.20
Luke Stocker,TE,ATL,@MIN,-110,47.50,4.00,21.75,2500,0.8,0.3,0.20
Bradley Sowell,TE,CHI,GB,-115,46.50,-3.00,24.75,2500,0.4,0.2,0.20
Andy Isabella,WR,ARI,DET,-105,46.50,2.50,22.00,3400,3.7,1.1,0.19
DeAndre Washington,RB,OAK,DEN,-110,43.00,2.50,20.25,3200,3.6,1.1,0.19
Nick Boyle,TE,BAL,@MIA,-110,38.50,-6.50,22.50,2500,2.3,0.9,0.19
Jordan Scarlett,RB,CAR,LAR,-110,50.00,1.50,24.25,3400,2.3,0.7,0.19
Seth Roberts,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3000,4.5,1.5,0.18
Troy Fumagalli,TE,DEN,@OAK,-110,43.00,-2.50,22.75,2500,1.1,0.4,0.18
David Fluellen,RB,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.5,0.2,0.18
Justice Hill,RB,BAL,@MIA,-110,38.50,-6.50,22.50,3600,4.5,1.2,0.17
Devontae Booker,RB,DEN,@OAK,-110,43.00,-2.50,22.75,3000,2.7,0.9,0.17
Troymaine Pope,RB,LAC,IND,-110,44.50,-6.50,25.50,3000,2.0,0.7,0.17
Darius Slayton,WR,NYG,@DAL,-115,45.50,7.50,19.00,3200,2.0,0.6,0.17
Reggie Bonnafon,RB,CAR,LAR,-110,50.00,1.50,24.25,3000,2.0,0.7,0.17
Blake Bell,TE,KC,@JAX,-120,51.50,-3.00,27.25,2500,0.9,0.3,0.17
Ameer Abdullah,RB,MIN,ATL,-110,47.50,-4.00,25.75,3000,0.6,0.2,0.17
Dalyn Dawkins,RB,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.4,0.1,0.17
J.D. McKissic,RB,DET,@ARI,-115,46.50,-2.50,24.50,3100,2.5,0.8,0.16
Russell Gage,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,2.4,0.8,0.16
Kalen Ballage,RB,MIA,BAL,-110,38.50,6.50,16.00,4500,8.6,1.9,0.15
T.J. Logan,RB,TB,SF,-110,51.00,-1.00,26.00,3000,1.3,0.4,0.15
Marcedes Lewis,TE,GB,@CHI,-105,46.50,3.00,21.75,2500,0.9,0.3,0.15
Jordan Chunn,RB,DAL,NYG,-105,45.50,-7.50,26.50,3000,0.4,0.1,0.15
