"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"37435-63759","RB","Tony","Tony Pollard","Pollard","0","0","5200","NYG@DAL","DAL","NYG","","","","",""
"37435-27266","WR","Quincy","Quincy Enunwa","Enunwa","6.172727411443537","11","5200","BUF@NYJ","NYJ","BUF","","","","",""
"37435-25290","RB","Giovani","Giovani Bernard","Bernard","6.533333460489909","12","5200","CIN@SEA","CIN","SEA","","","","",""
"37435-56018","WR","Deebo","Deebo Samuel","Samuel","0","0","5200","SF@TB","SF","TB","","","","",""
"37435-6914","TE","Greg","Greg Olsen","Olsen","7.399999830457899","9","5200","LAR@CAR","CAR","LAR","","","","",""
"37435-33552","WR","TJ","TJ Jones","Jones","3.375","12","5200","NYG@DAL","NYG","DAL","","","","",""
"37435-33557","TE","Tyler","Tyler Eifert","Eifert","7.849999904632568","4","5200","CIN@SEA","CIN","SEA","","","","",""
"37435-83081","RB","Chase","Chase Edmonds","Edmonds","3.3187499046325684","16","5100","DET@ARI","ARI","DET","","","","",""
"37435-72846","WR","A.J.","A.J. Brown","Brown","0","0","5100","TEN@CLE","TEN","CLE","","","","",""
"37435-33047","WR","Chris","Chris Moore","Moore","2.453333282470703","15","5100","BAL@MIA","BAL","MIA","","","","",""
"37435-24891","RB","Chris","Chris Thompson","Thompson","7.1099998474121096","10","5100","WAS@PHI","WAS","PHI","","","","",""
"37435-71352","WR","Mecole","Mecole Hardman","Hardman","0","0","5100","KC@JAC","KC","JAC","","","","",""
"37435-44784","RB","Darius","Darius Jackson","Jackson","0.800000011920929","2","5100","NYG@DAL","DAL","NYG","","","","",""
"37435-63360","WR","Antonio","Antonio Callaway","Callaway","6.925000190734863","16","5100","TEN@CLE","CLE","TEN","O","Suspension","","",""
"37435-14237","TE","Kyle","Kyle Rudolph","Rudolph","7.462500095367432","16","5100","ATL@MIN","MIN","ATL","","","","",""
"37435-83074","TE","Dallas","Dallas Goedert","Goedert","5.278571537562779","14","5000","WAS@PHI","PHI","WAS","","","","",""
"37435-48344","WR","Albert","Albert Wilson","Wilson","11.968571254185267","7","5000","BAL@MIA","MIA","BAL","Q","Hip","","",""
"37435-12555","D","Baltimore","Baltimore Ravens","Ravens","8.25","16","5000","BAL@MIA","BAL","MIA","","","","",""
"37435-41305","WR","Zay","Zay Jones","Jones","8.574999809265137","16","5000","BUF@NYJ","BUF","NYJ","","","","",""
"37435-86687","WR","Marquise","Marquise Brown","Brown","0","0","5000","BAL@MIA","BAL","MIA","","","","",""
"37435-32564","WR","Josh","Josh Doctson","Doctson","5.813333129882812","15","5000","ATL@MIN","MIN","ATL","","","","",""
"37435-71521","RB","Justice","Justice Hill","Hill","0","0","5000","BAL@MIA","BAL","MIA","","","","",""
"37435-29593","WR","Marqise","Marqise Lee","Lee","0","0","5000","KC@JAC","JAC","KC","","","","",""
"37435-14257","WR","Randall","Randall Cobb","Cobb","7.4777781168619795","9","5000","NYG@DAL","DAL","NYG","","","","",""
"37435-56262","WR","Parris","Parris Campbell","Campbell","0","0","5000","IND@LAC","IND","LAC","","","","",""
"37435-29683","WR","Nelson","Nelson Agholor","Agholor","8.337499618530273","16","5000","WAS@PHI","PHI","WAS","","","","",""
"37435-71706","TE","T.J.","T.J. Hockenson","Hockenson","0","0","4900","DET@ARI","DET","ARI","","","","",""
"37435-29734","RB","Ty","Ty Montgomery","Montgomery","4.523076864389273","13","4900","BUF@NYJ","NYJ","BUF","","","","",""
"37435-72776","RB","Alexander","Alexander Mattison","Mattison","0","0","4900","ATL@MIN","MIN","ATL","","","","",""
"37435-32234","RB","Malcolm","Malcolm Brown","Brown","3.6900001525878907","10","4900","LAR@CAR","LAR","CAR","","","","",""
"37435-22035","WR","Travis","Travis Benjamin","Benjamin","2.8916667302449546","12","4900","IND@LAC","LAC","IND","","","","",""
"37435-52902","WR","Trey","Trey Quinn","Quinn","6","3","4900","WAS@PHI","WAS","PHI","","","","",""
"37435-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","2.2399999618530275","10","4900","KC@JAC","JAC","KC","","","","",""
